0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
336010.0,22.36,23.8825,20.66,21.439999999999998,22.09,15.135,21.37,5.945,7.3725000000000005,5.74,13.125,16.98,20.582500000000003,16.0925,26.075,25.792499999999997,6.235,10.93,39.3375,6.2925,5.6,3.7800000000000002,0.0,127.08,0.0,121.34,100.77,0.0,0.0,0.0,105.76,79.9,106.69999999999999,0.0,98.84,97.45,147.61,126.275,98.36749999999999,92.59,137.875,130.0,0.0,84.265
336011.0,25.635,17.5775,18.84,24.27,19.83,13.4875,5.905,14.19,10.3275,3.64,2.1,20.067500000000003,17.947499999999998,19.072499999999998,27.8375,15.197500000000002,13.33,21.835,19.385,5.27,4.13,2.425,127.53,157.365,0.0,137.2725,0.0,114.565,0.0,109.965,128.32,113.46000000000001,0.0,141.66,125.78,119.66,136.91,150.0,0.0,0.0,0.0,96.9875,166.66,96.22500000000001
336013.0,20.31,19.7825,23.445,30.71,31.395000000000003,18.1525,18.5025,0.0,9.58,2.08,4.685,19.9925,16.8325,22.925,21.6125,23.487499999999997,24.2975,17.86,5.38,11.442499999999999,9.0,22.265,137.385,129.41,138.2425,114.4225,126.13,142.28,121.52250000000001,75.0,193.14,20.0,112.065,111.92,118.22,110.595,104.19,136.38,133.18,119.60749999999999,68.61749999999999,104.725,165.78,116.01
336014.0,20.067500000000003,17.947499999999998,21.835,27.8375,19.072499999999998,19.385,13.33,20.6475,5.27,2.425,4.13,25.705,22.36,20.66,21.439999999999998,22.09,15.135,21.37,7.3725000000000005,5.74,13.125,5.945,141.66,125.78,0.0,136.91,119.66,0.0,0.0,80.48,96.9875,96.22500000000001,166.66,107.98,0.0,0.0,121.34,100.77,0.0,0.0,105.76,79.9,106.69999999999999,0.0
336015.0,17.5775,25.635,18.84,24.27,13.4875,13.907499999999999,5.905,19.83,14.19,3.64,2.1,22.932499999999997,19.4525,25.03,26.427500000000002,26.485,23.98,2.96,10.3325,6.52,3.3375,9.165,157.365,127.53,0.0,137.2725,114.565,123.0,0.0,0.0,109.965,113.46000000000001,0.0,119.02,145.38,129.55,135.16,139.6425,120.54,0.0,99.9375,105.375,55.269999999999996,126.91499999999999
336016.0,19.9925,16.8325,12.7025,23.487499999999997,24.2975,17.86,19.825,5.38,22.265,11.442499999999999,9.0,16.98,39.3375,30.4825,25.792499999999997,26.075,16.0925,6.235,10.93,6.2925,5.6,3.7800000000000002,111.92,118.22,160.0525,136.38,133.18,119.60749999999999,114.33,68.61749999999999,116.01,104.725,165.78,0.0,137.875,110.2,126.275,147.61,97.45,98.36749999999999,92.59,130.0,0.0,84.265
336017.0,25.705,22.36,20.66,21.439999999999998,22.09,15.135,21.37,10.825,5.74,13.125,6.3100000000000005,22.932499999999997,19.4525,26.427500000000002,18.295,25.03,23.98,2.96,10.3325,6.52,9.165,3.3375,107.98,0.0,0.0,121.34,100.77,0.0,0.0,126.72,79.9,106.69999999999999,131.25,119.02,145.38,135.16,88.23,129.55,120.54,0.0,99.9375,105.375,126.91499999999999,55.269999999999996
336018.0,19.4425,16.384999999999998,21.235,14.67,18.165,15.54,12.805,17.085,8.0,5.025,9.075,20.31,19.7825,23.445,30.71,18.5025,31.395000000000003,18.1525,9.12,9.58,4.685,2.08,129.15,83.33,128.96,114.16499999999999,116.41,143.445,122.85,111.87,199.995,71.79,110.405,137.385,129.41,138.2425,114.4225,121.52250000000001,126.13,142.28,130.425,193.14,112.065,20.0
336020.0,22.932499999999997,19.4525,25.03,10.3325,23.98,18.295,26.485,2.96,20.525,3.3375,4.38,20.067500000000003,15.197500000000002,17.947499999999998,27.8375,19.072499999999998,19.385,21.835,5.27,4.13,2.425,0.0,119.02,145.38,129.55,99.9375,120.54,88.23,139.6425,0.0,0.0,55.269999999999996,300.0,141.66,150.0,125.78,136.91,119.66,0.0,0.0,96.9875,166.66,96.22500000000001,90.0
336021.0,19.4425,16.384999999999998,21.235,14.67,18.165,15.54,12.805,13.5,17.085,8.0,5.025,25.705,22.36,20.66,21.439999999999998,21.22,21.37,15.135,8.125,6.3100000000000005,5.74,13.125,129.15,83.33,128.96,114.16499999999999,116.41,143.445,122.85,166.575,111.87,199.995,71.79,107.98,0.0,0.0,121.34,116.12,0.0,0.0,136.36,131.25,79.9,106.69999999999999
336022.0,22.932499999999997,19.4525,25.03,23.98,10.3325,24.924999999999997,9.165,26.485,2.96,20.525,3.3375,19.9925,16.8325,23.487499999999997,12.7025,24.2975,17.86,8.585,5.38,22.265,11.442499999999999,9.0,119.02,145.38,129.55,120.54,99.9375,124.06,126.91499999999999,139.6425,0.0,0.0,55.269999999999996,111.92,118.22,136.38,160.0525,133.18,119.60749999999999,0.0,68.61749999999999,116.01,104.725,165.78
336023.0,25.635,18.085,24.27,17.5775,18.84,13.4875,5.905,10.3275,14.19,3.64,2.1,16.98,39.3375,30.4825,28.4075,25.792499999999997,26.075,20.425,6.235,6.2925,5.6,5.3825,127.53,0.0,137.2725,157.365,0.0,114.565,0.0,128.32,109.965,113.46000000000001,0.0,0.0,137.875,110.2,119.35,126.275,147.61,168.22500000000002,98.36749999999999,130.0,0.0,92.2975
336024.0,20.067500000000003,15.197500000000002,27.8375,14.950000000000001,19.385,21.835,8.145,14.385,5.27,4.13,2.425,19.4425,16.384999999999998,14.67,15.54,21.235,18.165,15.285,17.085,8.0,5.025,4.465,141.66,150.0,136.91,98.87,0.0,0.0,0.0,107.28,96.9875,166.66,96.22500000000001,129.15,83.33,114.16499999999999,143.445,128.96,116.41,146.565,111.87,199.995,71.79,92.59
336025.0,25.705,21.22,20.66,14.98,21.439999999999998,15.135,21.37,8.125,5.74,13.125,6.3100000000000005,16.275,19.7825,20.31,23.445,30.71,31.395000000000003,18.1525,9.58,4.685,2.08,4.3625,107.98,116.12,0.0,129.195,121.34,0.0,0.0,136.36,79.9,106.69999999999999,131.25,118.65,129.41,137.385,138.2425,114.4225,126.13,142.28,193.14,112.065,20.0,90.9
336026.0,28.4075,15.92,19.25,26.075,30.4825,25.792499999999997,13.82,6.235,6.2925,5.6,3.7800000000000002,22.932499999999997,19.4525,26.427500000000002,23.98,25.03,26.485,10.3325,20.525,6.52,9.165,3.3375,119.35,124.14000000000001,110.23499999999999,147.61,110.2,126.275,0.0,98.36749999999999,130.0,0.0,84.265,119.02,145.38,135.16,120.54,129.55,139.6425,99.9375,0.0,105.375,126.91499999999999,55.269999999999996
336027.0,25.705,21.22,20.66,21.439999999999998,14.98,15.135,21.37,8.125,7.3725000000000005,5.74,13.125,25.635,18.085,10.3275,18.84,24.27,17.5775,13.4875,5.905,14.19,3.64,2.1,107.98,116.12,0.0,121.34,129.195,0.0,0.0,136.36,105.76,79.9,106.69999999999999,127.53,0.0,128.32,0.0,137.2725,157.365,114.565,0.0,109.965,113.46000000000001,0.0
